scope,finding
admin_structure,No MISMATCH: all load-bearing numbers REPRODUCED from git-tracked committed JSONs (masked_*/accounting_closure/template_completion/cross_site_invariance/pseudo_script_o2d8/pilot_stats/power_gate/weak_supervision_metrics/source_labels_summary/stage4_2_graph_freeze).
admin_structure,"Classification understatement (minor, conservative): RESULT_NUMBERS.csv tags classification_hint='REPORT_ONLY' for ALL 18 rows, but ~13 rows are ARTIFACT_VERIFIED from committed JSONs (P1's own inline cells say 'VERIFIED_FROM_ARTIFACT' — contradicting the column). Understates verification strength; inflates nothing."
admin_structure,"ADMIN-03 MEASURE_MARKER=52 and OTHER_NOTATION=52 are two distinct real channels that coincidentally both equal 52 — both correct, not a duplication."
egyptian,"None. All load-bearing numbers REPRODUCED or ARTIFACT_VERIFIED: EGY-04 corpus counts (159/152A+B[99A/53B]/156 roots/cls 130-23-3-1-1-1) reproduced from handverified.jsonl (sha cc2c20d8); EGY-05 from model_validation.json; EGY-06/07/08/09 from gate.json; EGY-10 from final_verdict.json; EGY-14 (r1_M2 3/3, p=0.0014, 9.48 bits, per-anchor ranks) from cretan_oneshot_verdict.json; EGY-12 sha 6903f5f1 verified at commit dd491fe; EGY-13 plan_hash 2eab1536 + input hashes verified from prereg json."
egyptian,Non-issue clarification: EGY-12 (6903f5f1) vs EGY-13 (b749e2f7) target-file hashes differ only because the file was re-frozen at mint (l->r annotation struck); both correct for their stage -- not a mismatch.
constraint_expansion,"No material MISMATCH: all committed-artifact numbers reproduce exactly (92/212/2/0.434/46 in stage_a_budget.json; 1341/1242/618/565, 2328/402/298/119, 944/878/417/819/7/10 in stage_b_representation.json+INFORMATION_BUDGET.json; -4.172251 across 30 maps, gate 3/500=0.6%, 0.0000 hits in stage_hj_null.json)"
constraint_expansion,"Non-load-bearing prose looseness, both self-disclosed by P1 as REPORT_ONLY: (a) '259 = 108 ligatures + 13 damage' does not arithmetically reconstruct 259/258; (b) B5 report '222 commodity logograms' vs json 298 LOGOGRAM word-token types (commodity-subset vs all-types)"
constraint_expansion,"D1/D2/D4/D5/D7 and Stage E metrics are REPORT_ONLY (report-consistent) — no committed output json in this worktree; E's controls live in the prior/main tree, cross-referenced by filename"
paper_core,"NONE. All 10 hardest-check load-bearing numbers REPRODUCED from cited json/finding: morphology 0.250/0.375 (morphology-real.json), segmentation 0.4361/0.3888 (gate_results.json), metrology p=1.0 7/28 (metrology-real.json), cross-script 0.020/0.0145 + DAMOS 0.025/0.011 (results_ab*.json), gate 3/500=0.006 CP 0.01543 (gate_null_calibration.json), CSA clamp 0.04438==size-276 endpoint with sizes 400-919 recovery_mean=null (csa_full_report.json), KU-RO 0.25/0.0147/17x (kuro_reconciliation.json), 259>212 (identifiability_metrics.json), LLM-ablation n_a28.3/n_b9.9/JA-NE14-40/known+0.588 (findings), Ugaritic-Hebrew 0.0055/12-2182 (finding)."
paper_core,"REPORT_ONLY (correctly labeled by P1, not a mismatch): PC-25 NeuroCipher 6/7 from-PDF; PC-38/39/40 campaign FP numbers; PC-37 secondary '7/20 clean 35%' not present at json top level (headline 7/24=29.2% vs null 0.54% IS reproduced)."
foundry,"FND-14 (WP5.2) MISMATCH: P1's primary_metric_value states 'monotone 0.647->0.752 over 539->13562', but data/wp5_2_seed_propagation_power_curve.json is NON-monotone within that range (1500=0.6941 -> 2000=0.6804 drop; 10000=0.7563 -> 13562=0.752 drop) and the 13562 anchor is a single draw (n_effective_draws=1, sd=0). The 2620wf/4.9x crossing is interpolated across a noisy non-monotone curve. P1 already flags the low-end (size 300) non-monotonicity and marks the row CONFLICTING, so the defect is contained."
foundry,"FND-07 (WP3.2b) proxy-vs-metric under-flag: 1.7x transcribed correctly, but the 'validated power/clean regime' is defined ONLY on max_weight>=120 while the curve's own discriminative metric weight_feature_auc stays flat ~0.568->0.579 across the whole ladder (never approaches the headline hub-norm 0.714). P1 marks FND-07 clean VERIFIED without this caveat."
foundry,"FND-06 (trivial, correctly flagged by P1): report z=7.07 vs sweep-table perm p=0.0033 presentational gap."
foundry,"All other load-bearing numbers REPRODUCED from JSON: 0.744/0.035, 0.835/0.01, ablation 0.838/0.783/0.67, 0.552/0.714/0.2477, 1.7x, 4.9x/2620, 26 independent + 2 held-out (I,RI), WP6 0.01339/z=8.46, candidate rates 0.04214/0.01542/0.00411/0.03083/0.00206/0.00617/0.03289/0.05447."
relative_phonology,"NONE material. All six requested numbers reproduced: WP-A 0.744/0.835 (A1_recompute.json), oriented-null p 0.146 (A3_replications.json + A6_nulls.json 0.1464), freq-band position-only 0.481 (A4_grouped.json); C_AUDIT freq-matched p 0.0033 (C_audit.json); D3 pure-freq 0.872 > honest 0.784 (D3_seed_audit.json); K1 A- adaptive p 0.008 (K1_nulls.json); E3 cross-site p_holm 0.0099 vs K1 adaptive 0.4212. Plus Holm 0.0166, drop-A 0.448, drop-U 0.469, SEAL_2 0.05253/0.8571, ledger p 0.002 all ARTIFACT_VERIFIED."
relative_phonology,CAVEAT (not a mismatch): K1_nulls libation p reported as 0.030 — the artifact field literally named adaptive_p_random_anchor=0.00202; 0.030 = 14/493 co-occurring-pairs fraction. Both values are in the JSON; P1 followed the campaign's own M_FINAL_VERDICT sec 19 conservative choice. ARTIFACT_VERIFIED with source-internal label ambiguity.
